id,REF_DATE,GEO,Age group,Sex,Primary types of cancer (ICD-O-3),Characteristics,UOM,SCALAR_FACTOR,VALUE
40,2003,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,465.5
41,2004,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,477.2
42,2005,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,486
43,2006,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,495.9
44,2007,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,508.4
45,2008,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,506.7
46,2009,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,515.2
47,2010,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,552
48,2011,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,569.9
49,2012,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,569.1
50,2013,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,551.4
51,2014,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,559.3
52,2015,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,565.7
53,2016,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,573.8
54,2017,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,578.2
55,2018,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,
56,2019,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,
57,2020,Canada,"Total, all ages",Both sexes,"Total, all primary sites of cancer",Cancer incidence rate,"Rate per 100,000 population",units,
