,REF_DATE,GEO,Sex,Primary types of cancer ,Trends,Characteristics,UOM,SCALAR_FACTOR,VALUE
66,2021,Canada,Both sexes,Esophagus,Overall trend since 1984,Annual percent change (APC),Percentage,units,0.2
67,2021,Canada,Both sexes,Esophagus,Overall trend since 1984,Start year of period,Number,units,1984.0
68,2021,Canada,Both sexes,Esophagus,Overall trend since 1984,End year of period,Number,units,2020.0
69,2021,Canada,Both sexes,Esophagus,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.2
70,2021,Canada,Both sexes,Esophagus,Overall trend within the last ten years,Start year of period,Number,units,2011.0
71,2021,Canada,Both sexes,Esophagus,Overall trend within the last ten years,End year of period,Number,units,2020.0
72,2021,Canada,Both sexes,Stomach,First trend,Annual percent change (APC),Percentage,units,-3.1
73,2021,Canada,Both sexes,Stomach,First trend,Start year of period,Number,units,1984.0
74,2021,Canada,Both sexes,Stomach,First trend,End year of period,Number,units,2010.0
75,2021,Canada,Both sexes,Stomach,Second trend,Annual percent change (APC),Percentage,units,-2.0
76,2021,Canada,Both sexes,Stomach,Second trend,Start year of period,Number,units,2010.0
77,2021,Canada,Both sexes,Stomach,Second trend,End year of period,Number,units,2020.0
78,2021,Canada,Both sexes,Stomach,Third trend,Annual percent change (APC),Percentage,units,
79,2021,Canada,Both sexes,Stomach,Third trend,Start year of period,Number,units,
80,2021,Canada,Both sexes,Stomach,Third trend,End year of period,Number,units,
81,2021,Canada,Both sexes,Stomach,Fourth trend,Annual percent change (APC),Percentage,units,
82,2021,Canada,Both sexes,Stomach,Fourth trend,Start year of period,Number,units,
83,2021,Canada,Both sexes,Stomach,Fourth trend,End year of period,Number,units,
84,2021,Canada,Both sexes,Stomach,Fifth trend,Annual percent change (APC),Percentage,units,
85,2021,Canada,Both sexes,Stomach,Fifth trend,Start year of period,Number,units,
86,2021,Canada,Both sexes,Stomach,Fifth trend,End year of period,Number,units,
87,2021,Canada,Both sexes,Stomach,Latest trend,Annual percent change (APC),Percentage,units,-2.0
88,2021,Canada,Both sexes,Stomach,Latest trend,Start year of period,Number,units,2010.0
89,2021,Canada,Both sexes,Stomach,Latest trend,End year of period,Number,units,2020.0
90,2021,Canada,Both sexes,Stomach,Overall trend since 1984,Annual percent change (APC),Percentage,units,-2.8
91,2021,Canada,Both sexes,Stomach,Overall trend since 1984,Start year of period,Number,units,1984.0
92,2021,Canada,Both sexes,Stomach,Overall trend since 1984,End year of period,Number,units,2020.0
93,2021,Canada,Both sexes,Stomach,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-2.0
94,2021,Canada,Both sexes,Stomach,Overall trend within the last ten years,Start year of period,Number,units,2011.0
95,2021,Canada,Both sexes,Stomach,Overall trend within the last ten years,End year of period,Number,units,2020.0
96,2021,Canada,Both sexes,Small intestine,First trend,Annual percent change (APC),Percentage,units,-2.7
97,2021,Canada,Both sexes,Small intestine,First trend,Start year of period,Number,units,1984.0
98,2021,Canada,Both sexes,Small intestine,First trend,End year of period,Number,units,1991.0
99,2021,Canada,Both sexes,Small intestine,Second trend,Annual percent change (APC),Percentage,units,1.4
100,2021,Canada,Both sexes,Small intestine,Second trend,Start year of period,Number,units,1991.0
101,2021,Canada,Both sexes,Small intestine,Second trend,End year of period,Number,units,2020.0
102,2021,Canada,Both sexes,Small intestine,Third trend,Annual percent change (APC),Percentage,units,
103,2021,Canada,Both sexes,Small intestine,Third trend,Start year of period,Number,units,
104,2021,Canada,Both sexes,Small intestine,Third trend,End year of period,Number,units,
105,2021,Canada,Both sexes,Small intestine,Fourth trend,Annual percent change (APC),Percentage,units,
106,2021,Canada,Both sexes,Small intestine,Fourth trend,Start year of period,Number,units,
107,2021,Canada,Both sexes,Small intestine,Fourth trend,End year of period,Number,units,
108,2021,Canada,Both sexes,Small intestine,Fifth trend,Annual percent change (APC),Percentage,units,
109,2021,Canada,Both sexes,Small intestine,Fifth trend,Start year of period,Number,units,
110,2021,Canada,Both sexes,Small intestine,Fifth trend,End year of period,Number,units,
111,2021,Canada,Both sexes,Small intestine,Latest trend,Annual percent change (APC),Percentage,units,1.4
112,2021,Canada,Both sexes,Small intestine,Latest trend,Start year of period,Number,units,1991.0
113,2021,Canada,Both sexes,Small intestine,Latest trend,End year of period,Number,units,2020.0
114,2021,Canada,Both sexes,Small intestine,Overall trend since 1984,Annual percent change (APC),Percentage,units,0.6
115,2021,Canada,Both sexes,Small intestine,Overall trend since 1984,Start year of period,Number,units,1984.0
116,2021,Canada,Both sexes,Small intestine,Overall trend since 1984,End year of period,Number,units,2020.0
117,2021,Canada,Both sexes,Small intestine,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,1.4
118,2021,Canada,Both sexes,Small intestine,Overall trend within the last ten years,Start year of period,Number,units,2011.0
119,2021,Canada,Both sexes,Small intestine,Overall trend within the last ten years,End year of period,Number,units,2020.0
120,2021,Canada,Both sexes,Colon and rectum,First trend,Annual percent change (APC),Percentage,units,-1.3
121,2021,Canada,Both sexes,Colon and rectum,First trend,Start year of period,Number,units,1984.0
122,2021,Canada,Both sexes,Colon and rectum,First trend,End year of period,Number,units,2004.0
123,2021,Canada,Both sexes,Colon and rectum,Second trend,Annual percent change (APC),Percentage,units,-2.0
124,2021,Canada,Both sexes,Colon and rectum,Second trend,Start year of period,Number,units,2004.0
125,2021,Canada,Both sexes,Colon and rectum,Second trend,End year of period,Number,units,2016.0
126,2021,Canada,Both sexes,Colon and rectum,Third trend,Annual percent change (APC),Percentage,units,-3.4
127,2021,Canada,Both sexes,Colon and rectum,Third trend,Start year of period,Number,units,2016.0
128,2021,Canada,Both sexes,Colon and rectum,Third trend,End year of period,Number,units,2020.0
129,2021,Canada,Both sexes,Colon and rectum,Fourth trend,Annual percent change (APC),Percentage,units,
130,2021,Canada,Both sexes,Colon and rectum,Fourth trend,Start year of period,Number,units,
131,2021,Canada,Both sexes,Colon and rectum,Fourth trend,End year of period,Number,units,
132,2021,Canada,Both sexes,Colon and rectum,Fifth trend,Annual percent change (APC),Percentage,units,
133,2021,Canada,Both sexes,Colon and rectum,Fifth trend,Start year of period,Number,units,
134,2021,Canada,Both sexes,Colon and rectum,Fifth trend,End year of period,Number,units,
135,2021,Canada,Both sexes,Colon and rectum,Latest trend,Annual percent change (APC),Percentage,units,-3.4
136,2021,Canada,Both sexes,Colon and rectum,Latest trend,Start year of period,Number,units,2016.0
137,2021,Canada,Both sexes,Colon and rectum,Latest trend,End year of period,Number,units,2020.0
138,2021,Canada,Both sexes,Colon and rectum,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.8
139,2021,Canada,Both sexes,Colon and rectum,Overall trend since 1984,Start year of period,Number,units,1984.0
140,2021,Canada,Both sexes,Colon and rectum,Overall trend since 1984,End year of period,Number,units,2020.0
141,2021,Canada,Both sexes,Colon and rectum,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-2.6
142,2021,Canada,Both sexes,Colon and rectum,Overall trend within the last ten years,Start year of period,Number,units,2011.0
143,2021,Canada,Both sexes,Colon and rectum,Overall trend within the last ten years,End year of period,Number,units,2020.0
144,2021,Canada,Both sexes,Colon excluding rectum,First trend,Annual percent change (APC),Percentage,units,-1.0
145,2021,Canada,Both sexes,Colon excluding rectum,First trend,Start year of period,Number,units,1984.0
146,2021,Canada,Both sexes,Colon excluding rectum,First trend,End year of period,Number,units,2001.0
147,2021,Canada,Both sexes,Colon excluding rectum,Second trend,Annual percent change (APC),Percentage,units,-2.6
148,2021,Canada,Both sexes,Colon excluding rectum,Second trend,Start year of period,Number,units,2001.0
149,2021,Canada,Both sexes,Colon excluding rectum,Second trend,End year of period,Number,units,2014.0
150,2021,Canada,Both sexes,Colon excluding rectum,Third trend,Annual percent change (APC),Percentage,units,-4.3
151,2021,Canada,Both sexes,Colon excluding rectum,Third trend,Start year of period,Number,units,2014.0
152,2021,Canada,Both sexes,Colon excluding rectum,Third trend,End year of period,Number,units,2020.0
153,2021,Canada,Both sexes,Colon excluding rectum,Fourth trend,Annual percent change (APC),Percentage,units,
154,2021,Canada,Both sexes,Colon excluding rectum,Fourth trend,Start year of period,Number,units,
155,2021,Canada,Both sexes,Colon excluding rectum,Fourth trend,End year of period,Number,units,
156,2021,Canada,Both sexes,Colon excluding rectum,Fifth trend,Annual percent change (APC),Percentage,units,
157,2021,Canada,Both sexes,Colon excluding rectum,Fifth trend,Start year of period,Number,units,
158,2021,Canada,Both sexes,Colon excluding rectum,Fifth trend,End year of period,Number,units,
159,2021,Canada,Both sexes,Colon excluding rectum,Latest trend,Annual percent change (APC),Percentage,units,-4.3
160,2021,Canada,Both sexes,Colon excluding rectum,Latest trend,Start year of period,Number,units,2014.0
161,2021,Canada,Both sexes,Colon excluding rectum,Latest trend,End year of period,Number,units,2020.0
162,2021,Canada,Both sexes,Colon excluding rectum,Overall trend since 1984,Annual percent change (APC),Percentage,units,-2.1
163,2021,Canada,Both sexes,Colon excluding rectum,Overall trend since 1984,Start year of period,Number,units,1984.0
164,2021,Canada,Both sexes,Colon excluding rectum,Overall trend since 1984,End year of period,Number,units,2020.0
165,2021,Canada,Both sexes,Colon excluding rectum,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-3.7
166,2021,Canada,Both sexes,Colon excluding rectum,Overall trend within the last ten years,Start year of period,Number,units,2011.0
167,2021,Canada,Both sexes,Colon excluding rectum,Overall trend within the last ten years,End year of period,Number,units,2020.0
168,2021,Canada,Both sexes,Rectum and rectosigmoid,First trend,Annual percent change (APC),Percentage,units,-3.2
169,2021,Canada,Both sexes,Rectum and rectosigmoid,First trend,Start year of period,Number,units,1984.0
170,2021,Canada,Both sexes,Rectum and rectosigmoid,First trend,End year of period,Number,units,1991.0
171,2021,Canada,Both sexes,Rectum and rectosigmoid,Second trend,Annual percent change (APC),Percentage,units,-1.9
172,2021,Canada,Both sexes,Rectum and rectosigmoid,Second trend,Start year of period,Number,units,1991.0
173,2021,Canada,Both sexes,Rectum and rectosigmoid,Second trend,End year of period,Number,units,2000.0
174,2021,Canada,Both sexes,Rectum and rectosigmoid,Third trend,Annual percent change (APC),Percentage,units,0.9
175,2021,Canada,Both sexes,Rectum and rectosigmoid,Third trend,Start year of period,Number,units,2000.0
176,2021,Canada,Both sexes,Rectum and rectosigmoid,Third trend,End year of period,Number,units,2020.0
177,2021,Canada,Both sexes,Rectum and rectosigmoid,Fourth trend,Annual percent change (APC),Percentage,units,
178,2021,Canada,Both sexes,Rectum and rectosigmoid,Fourth trend,Start year of period,Number,units,
179,2021,Canada,Both sexes,Rectum and rectosigmoid,Fourth trend,End year of period,Number,units,
180,2021,Canada,Both sexes,Rectum and rectosigmoid,Fifth trend,Annual percent change (APC),Percentage,units,
181,2021,Canada,Both sexes,Rectum and rectosigmoid,Fifth trend,Start year of period,Number,units,
182,2021,Canada,Both sexes,Rectum and rectosigmoid,Fifth trend,End year of period,Number,units,
183,2021,Canada,Both sexes,Rectum and rectosigmoid,Latest trend,Annual percent change (APC),Percentage,units,0.9
184,2021,Canada,Both sexes,Rectum and rectosigmoid,Latest trend,Start year of period,Number,units,2000.0
185,2021,Canada,Both sexes,Rectum and rectosigmoid,Latest trend,End year of period,Number,units,2020.0
186,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.6
187,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend since 1984,Start year of period,Number,units,1984.0
188,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend since 1984,End year of period,Number,units,2020.0
189,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,0.8
190,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend within the last ten years,Start year of period,Number,units,2011.0
191,2021,Canada,Both sexes,Rectum and rectosigmoid,Overall trend within the last ten years,End year of period,Number,units,2020.0
192,2021,Canada,Both sexes,"Anus, anal canal and anorectum",First trend,Annual percent change (APC),Percentage,units,3.3
193,2021,Canada,Both sexes,"Anus, anal canal and anorectum",First trend,Start year of period,Number,units,1984.0
194,2021,Canada,Both sexes,"Anus, anal canal and anorectum",First trend,End year of period,Number,units,2020.0
195,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Second trend,Annual percent change (APC),Percentage,units,
196,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Second trend,Start year of period,Number,units,
197,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Second trend,End year of period,Number,units,
198,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Third trend,Annual percent change (APC),Percentage,units,
199,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Third trend,Start year of period,Number,units,
200,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Third trend,End year of period,Number,units,
201,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fourth trend,Annual percent change (APC),Percentage,units,
202,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fourth trend,Start year of period,Number,units,
203,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fourth trend,End year of period,Number,units,
204,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fifth trend,Annual percent change (APC),Percentage,units,
205,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fifth trend,Start year of period,Number,units,
206,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Fifth trend,End year of period,Number,units,
207,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Latest trend,Annual percent change (APC),Percentage,units,3.3
208,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Latest trend,Start year of period,Number,units,1984.0
209,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Latest trend,End year of period,Number,units,2020.0
210,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend since 1984,Annual percent change (APC),Percentage,units,3.3
211,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend since 1984,Start year of period,Number,units,1984.0
212,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend since 1984,End year of period,Number,units,2020.0
213,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend within the last ten years,Annual percent change (APC),Percentage,units,3.3
214,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend within the last ten years,Start year of period,Number,units,2011.0
215,2021,Canada,Both sexes,"Anus, anal canal and anorectum",Overall trend within the last ten years,End year of period,Number,units,2020.0
216,2021,Canada,Both sexes,Liver,First trend,Annual percent change (APC),Percentage,units,-1.1
217,2021,Canada,Both sexes,Liver,First trend,Start year of period,Number,units,1984.0
218,2021,Canada,Both sexes,Liver,First trend,End year of period,Number,units,1996.0
219,2021,Canada,Both sexes,Liver,Second trend,Annual percent change (APC),Percentage,units,3.2
220,2021,Canada,Both sexes,Liver,Second trend,Start year of period,Number,units,1996.0
221,2021,Canada,Both sexes,Liver,Second trend,End year of period,Number,units,2016.0
222,2021,Canada,Both sexes,Liver,Third trend,Annual percent change (APC),Percentage,units,-0.9
223,2021,Canada,Both sexes,Liver,Third trend,Start year of period,Number,units,2016.0
224,2021,Canada,Both sexes,Liver,Third trend,End year of period,Number,units,2020.0
225,2021,Canada,Both sexes,Liver,Fourth trend,Annual percent change (APC),Percentage,units,
226,2021,Canada,Both sexes,Liver,Fourth trend,Start year of period,Number,units,
227,2021,Canada,Both sexes,Liver,Fourth trend,End year of period,Number,units,
228,2021,Canada,Both sexes,Liver,Fifth trend,Annual percent change (APC),Percentage,units,
229,2021,Canada,Both sexes,Liver,Fifth trend,Start year of period,Number,units,
230,2021,Canada,Both sexes,Liver,Fifth trend,End year of period,Number,units,
231,2021,Canada,Both sexes,Liver,Latest trend,Annual percent change (APC),Percentage,units,-0.9
232,2021,Canada,Both sexes,Liver,Latest trend,Start year of period,Number,units,2016.0
233,2021,Canada,Both sexes,Liver,Latest trend,End year of period,Number,units,2020.0
234,2021,Canada,Both sexes,Liver,Overall trend since 1984,Annual percent change (APC),Percentage,units,1.3
235,2021,Canada,Both sexes,Liver,Overall trend since 1984,Start year of period,Number,units,1984.0
236,2021,Canada,Both sexes,Liver,Overall trend since 1984,End year of period,Number,units,2020.0
237,2021,Canada,Both sexes,Liver,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,1.5
238,2021,Canada,Both sexes,Liver,Overall trend within the last ten years,Start year of period,Number,units,2011.0
239,2021,Canada,Both sexes,Liver,Overall trend within the last ten years,End year of period,Number,units,2020.0
240,2021,Canada,Both sexes,"Pancreas
",First trend,Annual percent change (APC),Percentage,units,-0.9
241,2021,Canada,Both sexes,"Pancreas
",First trend,Start year of period,Number,units,1984.0
242,2021,Canada,Both sexes,"Pancreas
",First trend,End year of period,Number,units,1999.0
243,2021,Canada,Both sexes,"Pancreas
",Second trend,Annual percent change (APC),Percentage,units,0.0
244,2021,Canada,Both sexes,"Pancreas
",Second trend,Start year of period,Number,units,1999.0
245,2021,Canada,Both sexes,"Pancreas
",Second trend,End year of period,Number,units,2020.0
246,2021,Canada,Both sexes,"Pancreas
",Third trend,Annual percent change (APC),Percentage,units,
247,2021,Canada,Both sexes,"Pancreas
",Third trend,Start year of period,Number,units,
248,2021,Canada,Both sexes,"Pancreas
",Third trend,End year of period,Number,units,
249,2021,Canada,Both sexes,"Pancreas
",Fourth trend,Annual percent change (APC),Percentage,units,
250,2021,Canada,Both sexes,"Pancreas
",Fourth trend,Start year of period,Number,units,
251,2021,Canada,Both sexes,"Pancreas
",Fourth trend,End year of period,Number,units,
252,2021,Canada,Both sexes,"Pancreas
",Fifth trend,Annual percent change (APC),Percentage,units,
253,2021,Canada,Both sexes,"Pancreas
",Fifth trend,Start year of period,Number,units,
254,2021,Canada,Both sexes,"Pancreas
",Fifth trend,End year of period,Number,units,
255,2021,Canada,Both sexes,"Pancreas
",Latest trend,Annual percent change (APC),Percentage,units,0.0
256,2021,Canada,Both sexes,"Pancreas
",Latest trend,Start year of period,Number,units,1999.0
257,2021,Canada,Both sexes,"Pancreas
",Latest trend,End year of period,Number,units,2020.0
258,2021,Canada,Both sexes,"Pancreas
",Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.3
259,2021,Canada,Both sexes,"Pancreas
",Overall trend since 1984,Start year of period,Number,units,1984.0
260,2021,Canada,Both sexes,"Pancreas
",Overall trend since 1984,End year of period,Number,units,2020.0
261,2021,Canada,Both sexes,"Pancreas
",Overall trend within the last ten years,Annual percent change (APC),Percentage,units,0.0
262,2021,Canada,Both sexes,"Pancreas
",Overall trend within the last ten years,Start year of period,Number,units,2011.0
263,2021,Canada,Both sexes,"Pancreas
",Overall trend within the last ten years,End year of period,Number,units,2020.0
264,2021,Canada,Both sexes,Lung and bronchus,First trend,Annual percent change (APC),Percentage,units,1.0
265,2021,Canada,Both sexes,Lung and bronchus,First trend,Start year of period,Number,units,1984.0
266,2021,Canada,Both sexes,Lung and bronchus,First trend,End year of period,Number,units,1992.0
267,2021,Canada,Both sexes,Lung and bronchus,Second trend,Annual percent change (APC),Percentage,units,-0.8
268,2021,Canada,Both sexes,Lung and bronchus,Second trend,Start year of period,Number,units,1992.0
269,2021,Canada,Both sexes,Lung and bronchus,Second trend,End year of period,Number,units,2007.0
270,2021,Canada,Both sexes,Lung and bronchus,Third trend,Annual percent change (APC),Percentage,units,-1.7
271,2021,Canada,Both sexes,Lung and bronchus,Third trend,Start year of period,Number,units,2007.0
272,2021,Canada,Both sexes,Lung and bronchus,Third trend,End year of period,Number,units,2015.0
273,2021,Canada,Both sexes,Lung and bronchus,Fourth trend,Annual percent change (APC),Percentage,units,-3.8
274,2021,Canada,Both sexes,Lung and bronchus,Fourth trend,Start year of period,Number,units,2015.0
275,2021,Canada,Both sexes,Lung and bronchus,Fourth trend,End year of period,Number,units,2020.0
276,2021,Canada,Both sexes,Lung and bronchus,Fifth trend,Annual percent change (APC),Percentage,units,
277,2021,Canada,Both sexes,Lung and bronchus,Fifth trend,Start year of period,Number,units,
278,2021,Canada,Both sexes,Lung and bronchus,Fifth trend,End year of period,Number,units,
279,2021,Canada,Both sexes,Lung and bronchus,Latest trend,Annual percent change (APC),Percentage,units,-3.8
280,2021,Canada,Both sexes,Lung and bronchus,Latest trend,Start year of period,Number,units,2015.0
281,2021,Canada,Both sexes,Lung and bronchus,Latest trend,End year of period,Number,units,2020.0
282,2021,Canada,Both sexes,Lung and bronchus,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.0
283,2021,Canada,Both sexes,Lung and bronchus,Overall trend since 1984,Start year of period,Number,units,1984.0
284,2021,Canada,Both sexes,Lung and bronchus,Overall trend since 1984,End year of period,Number,units,2020.0
285,2021,Canada,Both sexes,Lung and bronchus,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-2.9
286,2021,Canada,Both sexes,Lung and bronchus,Overall trend within the last ten years,Start year of period,Number,units,2011.0
287,2021,Canada,Both sexes,Lung and bronchus,Overall trend within the last ten years,End year of period,Number,units,2020.0
288,2021,Canada,Both sexes,Soft tissue (including heart),First trend,Annual percent change (APC),Percentage,units,-0.5
289,2021,Canada,Both sexes,Soft tissue (including heart),First trend,Start year of period,Number,units,1984.0
290,2021,Canada,Both sexes,Soft tissue (including heart),First trend,End year of period,Number,units,1994.0
291,2021,Canada,Both sexes,Soft tissue (including heart),Second trend,Annual percent change (APC),Percentage,units,5.6
292,2021,Canada,Both sexes,Soft tissue (including heart),Second trend,Start year of period,Number,units,1994.0
293,2021,Canada,Both sexes,Soft tissue (including heart),Second trend,End year of period,Number,units,1999.0
